B916  PB  HHZ  36 11.5500N117 40.1100W1859
B917  PB  HHZ  35 24.3180N117 15.5280W1192
B918  PB  HHZ  35 56.1420N117 36.1020W1042
B921  PB  HHZ  35 35.1900N117 27.7320W 694
CA01  GS  HHZ  35 39.9060N117 25.4220W 570
CA02  GS  HHZ  35 49.7460N117 21.3240W 541
CA03  GS  HHZ  35 37.3200N117 34.1460W 762
CA04  GS  HHZ  35 28.6980N117 33.6120W1005
CA05  GS  HHZ  35 35.3580N117 17.2140W 612
CA06  GS  HHZ  35 35.9760N117 29.5620W 796
CCA   CI  HHZ  35  9.1500N118  0.9900W 710
CCC   CI  HHZ  35 31.4940N117 21.8700W 670
CLC   CI  HHZ  35 48.9420N117 35.8500W 775
CWC   CI  HHZ  36 26.3940N118  4.8120W1595
DAW   CI  HHZ  36 16.2900N117 35.5260W   0
DTP   CI  HHZ  35 16.0440N117 50.7480W 908
JRC2  CI  HHZ  35 58.9500N117 48.5340W1469
LRL   CI  HHZ  35 28.7700N117 40.9260W1340
MPM   CI  HHZ  36  3.4800N117 29.3400W1839
QSM   NN  HHZ  35 57.9000N116 52.1460W 385
SLA   CI  HHZ  35 53.4540N117 16.9980W1174
SRT   CI  HHZ  35 41.5380N117 45.0300W 667
SV01  ZY  HHZ  35 38.7300N117 28.6560W 602
SV02  ZY  HHZ  35 53.1300N117 42.2880W 688
SV03  ZY  HHZ  35 46.2300N117 35.9820W 671
SV04  ZY  HHZ  35 54.1380N117 42.1080W 707
SV05  ZY  HHZ  35 43.3440N117 34.3140W 664
SV06  ZY  HHZ  35 36.0720N117 22.8660W 597
SV07  ZY  HHZ  35 41.8560N117 36.1920W 664
SV08  ZY  HHZ  35 34.5660N117 25.1220W 604
TOW2  CI  HHZ  35 48.5160N117 45.8940W 685
WBM   CI  HHZ  35 36.5040N117 53.4300W 892
WBP   CI  HHZ  35 52.7040N118  4.4460W2494
WBS   CI  HHZ  35 32.1960N118  8.4180W1927
WCS2  CI  HHZ  36  1.5120N117 45.9180W1143
WHF   CI  HHZ  35 41.7060N118 21.1080W 859
WLH2  CI  HHZ  36  9.1260N118 18.7920W2672
WMF   CI  HHZ  36  7.0560N117 51.2940W1537
WOR   CI  HHZ  35 41.7360N118 14.5500W 795
WRC2  CI  HHZ  35 56.8740N117 39.0240W 943
